xyz_campaign_id,total_spent,total_revenue,total_impressions,total_clicks,total_conversoes,roi_medio,conv_rate_media,cpa_medio,n_anuncios,roi_agregado
916,149.710000657,800.0,448046,113,16,8.714312915227124,0.2571428571428571,4.712500005625,35,4.3436643944239695
936,2893.369998934,5900.0,7797942,1984,118,8.145738272444646,0.2121035009444296,8.44056546633482,288,1.0391446659686554
1178,55662.149958614,43450.0,204699959,36068,869,0.6374462136237519,0.05214761629959636,58.862604453628336,613,-0.2193977409728872
